"pmid","pmcid_pmc","pmcid_uid","doi","filename","is_research","is_review","is_relevant_data","is_relevant_code","article","is_open_data","open_data_category","is_open_code","open_data_statements","open_code_statements","is_success"
"30334918","","6276862","10.1097/EDE.0000000000000938","../publications/PMC6276862.xml",TRUE,FALSE,TRUE,TRUE,"10.1097/EDE.0000000000000938",TRUE,"general-purpose repository",TRUE,"replication statement: all data used in these analyses along with r scripts to perform the analyses will be made available on the github repository at https://github com/weinbergerlab/brazil_state .","we used the bsts and boomspikeslab packages in r version 3 4 3 (vienne austria) for model fitting an r script is available on the github repository at https://github com/weinbergerlab/brazil_state .;     an r script is available on the github repository at https://github com/weinbergerlab/brazil_state .;     replication statement: all data used in these analyses along with r scripts to perform the analyses will be made available on the github repository at https://github com/weinbergerlab/brazil_state .",TRUE
"30606104","","6318941","10.1186/s12879-018-3564-0","../publications/PMC6318941.xml",TRUE,FALSE,TRUE,TRUE,"10.1186/s12879-018-3564-0",FALSE,"",FALSE,"","",TRUE
"30635558","","6329822","10.1038/s41467-018-08082-0","../publications/PMC6329822.xml",TRUE,FALSE,TRUE,TRUE,"10.1038/s41467-018-08082-0",TRUE,"general-purpose repository, data availability statement",TRUE,"data availability the data used in this study are available from harvard dataverse: [10 7910/dvn/l5nt70] 34 up-to-date cdc %ili data can be obtained from cdc's fluview interactive application: [ https://www cdc gov/flu/weekly/fluviewinteractive htm ].     data availability the data used in this study are available from harvard dataverse","the code supporting the results of this study is available from: https://github com/fl16180/argonet .",TRUE
"30642334","","6332839","10.1186/s12976-018-0097-6","../publications/PMC6332839.xml",TRUE,FALSE,TRUE,TRUE,"10.1186/s12976-018-0097-6",FALSE,"",FALSE,"","",TRUE
"30650091","","6334925","10.1371/journal.pone.0209428","../publications/PMC6334925.xml",TRUE,FALSE,TRUE,FALSE,"10.1371/journal.pone.0209428",TRUE,"general-purpose repository, data availability statement",FALSE,"data availability the minimal data set has been uploaded to zenodo and is available at: https://doi org/10 5281/zenodo 2167241 .;     data availability the minimal data set has been uploaded to zenodo and is available at: https://doi org/10 5281/zenodo 2167241 .     data availability the minimal data set has been uploaded to zenodo","",TRUE
"30665426","","6341592","10.1186/s12967-019-1781-y","../publications/PMC6341592.xml",TRUE,FALSE,TRUE,TRUE,"10.1186/s12967-019-1781-y",FALSE,"",TRUE,"","availability of data and materials the r code used in this research is available at https://gitlab com/rasanderson/campylobacter-microsimulation ; it is platform independent r version 3 3 0 and above.",TRUE
"30674890","","6344537","10.1038/s41598-018-35685-w","../publications/PMC6344537.xml",TRUE,FALSE,TRUE,TRUE,"10.1038/s41598-018-35685-w",FALSE,"",FALSE,"","",TRUE
"30682037","","6347271","10.1371/journal.pone.0210041","../publications/PMC6347271.xml",TRUE,FALSE,TRUE,TRUE,"10.1371/journal.pone.0210041",TRUE,"general-purpose repository",TRUE,"data availability data are publicly available from github ( https://github com/confunguido/denguevaccinetrialheterogeneities git ) data availability data are publicly available from github ( https://github com/confunguido/denguevaccinetrialheterogeneities git ) an estimated 390 million people worldwide experience dengue virus (denv) infections each year with approximately 96 million of those showing clinically apparent symptoms [ ].","data availability data are publicly available from github ( https://github com/confunguido/denguevaccinetrialheterogeneities git ) data availability data are publicly available from github ( https://github com/confunguido/denguevaccinetrialheterogeneities git ) an estimated 390 million people worldwide experience dengue virus (denv) infections each year with approximately 96 million of those showing clinically apparent symptoms [ ].",TRUE
"30713821","","6354664","10.7717/peerj.6340","../publications/PMC6354664.xml",TRUE,FALSE,TRUE,TRUE,"10.7717/peerj.6340",FALSE,"",FALSE,"","",TRUE
"30707729","","6358083","10.1371/journal.pone.0210638","../publications/PMC6358083.xml",TRUE,FALSE,TRUE,TRUE,"10.1371/journal.pone.0210638",FALSE,"",FALSE,"","",TRUE
"30716139","","6361417","10.1371/journal.pone.0197646","../publications/PMC6361417.xml",TRUE,FALSE,TRUE,TRUE,"10.1371/journal.pone.0197646",FALSE,"",FALSE,"","",TRUE
"30594260","","6367609","10.4269/ajtmh.17-0964","../publications/PMC6367609.xml",TRUE,FALSE,TRUE,TRUE,"10.4269/ajtmh.17-0964",FALSE,"",FALSE,"","",TRUE
"30788178","","6372465","10.4258/hir.2019.25.1.27","../publications/PMC6372465.xml",TRUE,FALSE,TRUE,TRUE,"10.4258/hir.2019.25.1.27",FALSE,"",FALSE,"","",TRUE
"30707099","","6376337","10.2196/12341","../publications/PMC6376337.xml",TRUE,FALSE,TRUE,TRUE,"10.2196/12341",FALSE,"",FALSE,"","",TRUE
"30764779","","6376732","10.1186/s12879-019-3735-7","../publications/PMC6376732.xml",TRUE,FALSE,TRUE,TRUE,"10.1186/s12879-019-3735-7",FALSE,"",FALSE,"","",TRUE
"30777016","","6378744","10.1186/s12879-019-3682-3","../publications/PMC6378744.xml",TRUE,FALSE,TRUE,TRUE,"10.1186/s12879-019-3682-3",FALSE,"",FALSE,"","",TRUE
"30703095","","6380603","10.1371/journal.pntd.0007091","../publications/PMC6380603.xml",TRUE,FALSE,TRUE,TRUE,"10.1371/journal.pntd.0007091",FALSE,"",FALSE,"","",TRUE
