,PMID,Eligible,Model,Disease,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
0,35153589,Yes,Compartmental,Covid-19,A model for the spread of infectious diseases compatible with case data,"Huang NE, Qiao F, Wang Q, Qian H, Tung KK.",Proc Math Phys Eng Sci. 2021 Oct;477(2254):20210551. doi: 10.1098/rspa.2021.0551. Epub 2021 Oct 13.,Huang NE,Proc Math Phys Eng Sci,2021,2022/02/14,PMC8511757,,10.1098/rspa.2021.0551
1,35136763,Yes,Compartmental,Covid-19,Seroprevalence and attainment of herd immunity against SARS CoV-2: A modelling study,"Paul A, Kadnur HB, Ray A, Chatterjee S, Wig N.",J Family Med Prim Care. 2021 Nov;10(11):4030-4035. doi: 10.4103/jfmpc.jfmpc_830_21. Epub 2021 Nov 29.,Paul A,J Family Med Prim Care,2021,2022/02/09,PMC8797069,,10.4103/jfmpc.jfmpc_830_21
2,35120681,Yes,Spatiotemporal,Covid-19,Spatio-temporal modeling of COVID-19 prevalence and mortality using artificial neural network algorithms,"Kianfar N, Mesgari MS, Mollalo A, Kaveh M.",Spat Spatiotemporal Epidemiol. 2022 Feb;40:100471. doi: 10.1016/j.sste.2021.100471. Epub 2021 Nov 11.,Kianfar N,Spat Spatiotemporal Epidemiol,2022,2022/02/05,PMC8580864,,10.1016/j.sste.2021.100471
3,35094929,Yes,Time Series,Covid-19,The global impact of COVID-19 on drug purchases: A cross-sectional time series analysis,"Suda KJ, Kim KC, Hernandez I, Gellad WF, Rothenberger S, Campbell A, Malliart L, Tadrous M.",J Am Pharm Assoc (2003). 2021 Dec 24:S1544-3191(21)00563-X. doi: 10.1016/j.japh.2021.12.014. Online ahead of print.,Suda KJ,J Am Pharm Assoc (2003),2021,2022/01/31,PMC8704785,,10.1016/j.japh.2021.12.014
4,35083430,Yes,Time Series,Covid-19,Prediction of the number of COVID-19 confirmed cases based on K-means-LSTM,"Vadyala SR, Betgeri SN, Sherer EA, Amritphale A.",Array (N Y). 2021 Sep;11:100085. doi: 10.1016/j.array.2021.100085. Epub 2021 Aug 21.,Vadyala SR,Array (N Y),2021,2022/01/27,PMC8378999,,10.1016/j.array.2021.100085
5,35071672,Yes,Compartmental,Covid-19,Mathematical modeling and impact analysis of the use of COVID Alert SA app,"Kinyili M, Munyakazi JB, Mukhtar AY.",AIMS Public Health. 2021 Nov 29;9(1):106-128. doi: 10.3934/publichealth.2022009. eCollection 2022.,Kinyili M,AIMS Public Health,2021,2022/01/24,PMC8755967,,10.3934/publichealth.2022009
6,35071388,Yes,Spatiotemporal,Lumpy skin disease,The First Lumpy Skin Disease Outbreak in Thailand (2021): Epidemiological Features and Spatio-Temporal Analysis,"Arjkumpa O, Suwannaboon M, Boonrod M, Punyawan I, Liangchaisiri S, Laobannue P, Lapchareonwong C, Sansri C, Kuatako N, Panyasomboonying P, Uttarak P, Buamithup N, Sansamur C, Punyapornwithaya V.",Front Vet Sci. 2022 Jan 7;8:799065. doi: 10.3389/fvets.2021.799065. eCollection 2021.,Arjkumpa O,Front Vet Sci,2022,2022/01/24,PMC8782428,,10.3389/fvets.2021.799065
7,35059370,Yes,Compartmental,Covid-19,Estimating the Effects of Public Health Measures by SEIR(MH) Model of COVID-19 Epidemic in Local Geographic Areas,"Qiu T, Xiao H, Brusic V.",Front Public Health. 2022 Jan 4;9:728525. doi: 10.3389/fpubh.2021.728525. eCollection 2021.,Qiu T,Front Public Health,2022,2022/01/21,PMC8764356,,10.3389/fpubh.2021.728525
8,35059369,Yes,Agent-based,Covid-19,Cost-Effectiveness of Public Health Measures to Control COVID-19 in China: A Microsimulation Modeling Study,"Wang Q, Shi N, Huang J, Yang L, Cui T, Ai J, Ji H, Xu K, Ahmad T, Bao C, Jin H.",Front Public Health. 2022 Jan 4;9:726690. doi: 10.3389/fpubh.2021.726690. eCollection 2021.,Wang Q,Front Public Health,2022,2022/01/21,PMC8763804,,10.3389/fpubh.2021.726690
9,35058682,Yes,Compartmental,Covid-19,The macroeconomic impacts of the COVID-19 pandemic: A SIR-DSGE model approach,Chan YT.,China Econ Rev. 2022 Feb;71:101725. doi: 10.1016/j.chieco.2021.101725. Epub 2021 Nov 25.,Chan YT,China Econ Rev,2022,2022/01/21,PMC8613005,,10.1016/j.chieco.2021.101725
