"pmid","pmcid_pmc","pmcid_uid","doi","filename","journal","publisher","affiliation_institution","affiliation_country","year_epub","year_ppub","is_coi_pred","coi_text","is_coi_pmc_fn","is_coi_pmc_title","is_explicit_coi","coi_1","coi_2","coi_disclosure_1","commercial_1","benefit_1","consultant_1","grants_1","brief_1","fees_1","consults_1","connect_1","connect_2","commercial_ack_1","rights_1","founder_1","advisor_1","paid_1","board_1","no_coi_1","no_funder_role_1","is_fund_pred","fund_text","fund_pmc_institute","fund_pmc_source","fund_pmc_anysource","is_fund_pmc_group","is_fund_pmc_title","is_fund_pmc_anysource","is_relevant_fund","is_explicit_fund","support_1","support_3","support_4","support_5","support_6","support_7","support_8","support_9","support_10","developed_1","received_1","received_2","recipient_1","authors_1","authors_2","thank_1","thank_2","fund_1","fund_2","fund_3","supported_1","financial_1","financial_2","financial_3","grant_1","french_1","common_1","common_2","common_3","common_4","common_5","acknow_1","disclosure_1","disclosure_2","fund_ack","project_ack","is_register_pred","register_text","type","is_research","is_review","is_reg_pmc_title","is_relevant_reg","is_method","is_NCT","is_explicit_reg","prospero_1","registered_1","registered_2","registered_3","registered_4","registered_5","not_registered_1","registration_1","registration_2","registration_3","registration_4","registry_1","reg_title_1","reg_title_2","reg_title_3","reg_title_4","funded_ct_1","ct_2","ct_3","protocol_1","is_success","is_relevant_coi","is_relevant_coi_hi","is_relevant_coi_lo"
"30334918","","6276862","10.1097/EDE.0000000000000938","../publications/PMC6276862.xml","Epidemiology (Cambridge, Mass.)","Lippincott Williams & Wilkins","","","2018","2019",TRUE,"Disclosures: D.M.W. has previously received an investigator-initiated research grant from Pfizer and consulting fees from Pfizer, Merck, GSK, and Affinivax. L.S. and R.J.T. have an ownership interest in Sage Analytica, a research consultancy with government, nongovernment, and pharmaceutical industry clients, including an investigator-initiated research grant from Pfizer (completed in 2013). Other authors do not have conflict of interest.",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"This study was supported by the Bill & Melinda Gates Foundation Grant OPP1114733. K.S. was also supported by the Funai Foundation for Information Technology through the Funai Overseas Scholarship. D.M.W. was also supported by NIH/National Institute on Aging Grants P30AG021342 (Scholar at the Claude D. Pepper Older Americans Independence Center at Yale University School of Medicine), R01AI123208, and R56AI110449 (NIH/NIAID) and NIH National Center for Advancing Translational Science Grants CTSA UL1TR001863. Disclosures: D.M.W. has previously received an investigator-initiated research grant from Pfizer and consulting fees from Pfizer, Merck, GSK, and Affinivax. L.S. and R.J.T. have an ownership interest in Sage Analytica, a research consultancy with government, nongovernment, and pharmaceutical industry clients, including an investigator-initiated research grant from Pfizer (completed in 2013). Other authors do not have conflict of interest.","","","",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,FALSE,"","research-article",TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"30606104","","6318941","10.1186/s12879-018-3564-0","../publications/PMC6318941.xml","BMC Infectious Diseases","BioMed Central; London","Department of Population Health and Pathobiology, ; College of Veterinary Medicine, North Carolina State University, ; VISAVET Health Surveillance Center, Universidad Complutense, ; Departamento de Sanidad Animal, Facultad de Veterinaria, ; Universidad Complutense, ; CEMSE Division, ; King Abdullah University of Science and Technology, ; Secretaria de Vigilância em Saúde, Ministério da Saúde (SVS-MH), ; School of Veterinary Medicine, University of Surrey, ","","2019","",TRUE,"Competing interests The authors declare that they have no competing interests.",FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Funding This study was funded by the Academic Health Center Faculty Research Development Grant Program (FRD #16.36) and CVM-Department of Population Health and Pathobiology- North Carolina State University, Grant/Award Number: Startup fund. The funder had no role in the collation of the data, development of the conceptual framework, analysis of data, interpretation of data, writing of the manuscript, or the decision to submit the paper for publication."," Academic Health Center Faculty Research Development Grant Program; Department of Population Health and Pathobiology, College of Veterinary Medicine, North Carolina State University"," Academic Health Center Faculty Research Development Grant Program; Department of Population Health and Pathobiology, College of Veterinary Medicine, North Carolina State University","",TRUE,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"","research-article",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,NA
"30635558","","6329822","10.1038/s41467-018-08082-0","../publications/PMC6329822.xml","Nature Communications","Nature Publishing Group UK; London","Computational Health Informatics Program, ; Boston Children’s Hospital, ; Wyss Institute for Biologically Inspired Engineering, ; Harvard Medical School, ; Tecnológico de Monterrey, ; Influenza Division, National Center for Immunization and Respiratory Disease, ; Centers for Disease Control and Prevention, ; Department of Pediatrics, ; Harvard Medical School, ","","2019","",TRUE,"Competing interests The authors declare no competing interests.",FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"This work was partially funded by the Centers for Disease Control and Prevention’s Cooperative Agreement PPHF 11797-998G-15. The authors thank Josh Gray, Anna Zink, and Dorrie Raymond for the collection and processing of the data from athenahealth. Research reported in this publication was also partially supported by the National Institute of General Medical Sciences of the National Institutes of Health under Award Number R01GM130668. The content is solely the responsibility of the authors and does not necessarily represent the official views of the National Institutes of Health.","","","",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,"","research-article",TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,NA
"30642334","","6332839","10.1186/s12976-018-0097-6","../publications/PMC6332839.xml","Theoretical Biology & Medical Modelling","BioMed Central; London","Department of Population Health Sciences, ; School of Public Health, Georgia State University, ; Division of International Epidemiology and Population Studies, Fogarty International Center, ; National Institute of Health, ","","2019","",TRUE,"Competing interests The authors declare that they have no competing interests.",FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Funding GC acknowledges financial support from the NSF grant 1414374 as part of the joint NSF-NIH-USDA Ecology and Evolution of Infectious Diseases program; UK Biotechnology and Biological Sciences Research Council grant BB/M008894/1.","National Science Foundation; UK Biotechnology and Biological Sciences Research Council","http://dx.doi.org/10.13039/100000001National Science Foundation; UK Biotechnology and Biological Sciences Research Council","",TRUE,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"","research-article",TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,NA
"30650091","","6334925","10.1371/journal.pone.0209428","../publications/PMC6334925.xml","PLoS ONE","Public Library of Science; San Francisco, CA USA","","","2019","",TRUE,"Competing Interests: FF received personal fees and non-financial support from Pfizer, MSD, TEVA; non-financial support from Sanofi and personal fees from Novartis. Other authors have declared that no competing interests exist.",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"This work is part of I-MOVE+ (Integrated Monitoring of Vaccines in Europe) project that received funding from the European Union's Horizon 2020 research and innovation programme [grant agreement number 634446].","European Union's Horizon 2020 research and innovation programme","European Union's Horizon 2020 research and innovation programme","",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"","research-article",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,NA
"30665426","","6341592","10.1186/s12967-019-1781-y","../publications/PMC6341592.xml","Journal of Translational Medicine","BioMed Central; London","Modelling, Evidence and Policy Research Group, School of Natural and Environmental Science, ; Newcastle University, ; Lancaster Medical School, ; Lancaster University, ; School of Environmental Sciences, ; University of East Anglia, ; Norwich Medical School, ; University of East Anglia, ; Institute of Psychology, Health and Society, ; University of Liverpool, ; Institute of Infection and Global Health, ; Liverpool University, ; School of Social Sciences, ; The University of Manchester, ; School of Natural and Computing Sciences/Food Standards Agency Scotland, ; University of Aberdeen, ; School of Medicine, Medical Sciences and Nutrition, ; University of Aberdeen, ; NIHR Health Protection Research Unit in Gastrointestinal Infections, ; University of Liverpool, ; School of Medicine, ; Swansea University, ; Ecology Research Group, School of Natural and Environmental Science, ; Newcastle University, ","","2019","",TRUE,"Competing interests The authors declare that they have no competing interests.",FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Funding This research was funded by Medical Research Council Grant, Natural Environment Research Council, Economic and Social Research Council, Biotechnology and Biological Sciences Research Council, and the Food Standards Agency through the Environmental and Social Ecology of Human Infectious Diseases Initiative (Sources, seasonality, transmission and control: Campylobacter and human behaviour in a changing environment (ENIGMA); Grant Reference G1100799-1). PRH, SJO’B, and IRL are funded in part by the NIHR Health Protection Research Unit in Gastrointestinal Infection, at the University of Liverpool. PRH and IRL are also funded in part by the NIHR Health Protection Research Unit in Emergency Preparedness and Response, at King’s College London. The views expressed are those of the author(s) and not necessarily those of the NHS, the NIHR, the Department of Health or Public Health England.","Medical Research Council; Natural Environment Research Council; Economic and Social Research Council; Biotechnology and Biological Sciences Research Council; Food Standards Agency","http://dx.doi.org/10.13039/501100000265Medical Research Council; http://dx.doi.org/10.13039/501100000270Natural Environment Research Council; http://dx.doi.org/10.13039/501100000269Economic and Social Research Council; http://dx.doi.org/10.13039/501100000268Biotechnology and Biological Sciences Research Council; http://dx.doi.org/10.13039/501100000354Food Standards Agency","",TRUE,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"","research-article",TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,NA
"30674890","","6344537","10.1038/s41598-018-35685-w","../publications/PMC6344537.xml","Scientific Reports","Nature Publishing Group UK; London","Guangxi Key Laboratory of AIDS Prevention and Treatment & Guangxi Universities Key Laboratory of Prevention and Control of Highly Prevalent Disease, School of Public Health, ; Guangxi Medical University, ; State Key Laboratory for Infectious Disease Prevention and Control, National Center for AIDS/STD Control and Prevention, Chinese Center for Disease Control and Prevention, ","","2019","",TRUE,"Competing Interests The authors declare no competing interests.",FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"This work was supported by grants from the Guangxi Bagui Honor Scholars, Ministry of Science and Technology of China (2017ZX10201101), the National Natural Science Foundation of China (81471962), and the Beijing Science and Technology Commission 2016 S&T Plan Major Project (SCW 2016–07). We thank the Chinese Center for Disease Control and Prevention for sharing with us the data needed for this research, and the Baidu Corporation for providing search engine query data. We would like to thank all the persons who were involved in this work for their constructive comments.","Guangxi Bagui Honor Scholars, Ministry of Science and Technology of China&amp;#xFF08;2017ZX10201101) the National Natural Science Foundation of China (81471962) Beijing Science and Technology Commission 2016 S&amp;T Plan Major Project (SCW 2016-07)","Guangxi Bagui Honor Scholars, Ministry of Science and Technology of China&amp;#xFF08;2017ZX10201101) the National Natural Science Foundation of China (81471962) Beijing Science and Technology Commission 2016 S&amp;T Plan Major Project (SCW 2016-07)","",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,"","research-article",TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,NA
"30682037","","6347271","10.1371/journal.pone.0210041","../publications/PMC6347271.xml","PLoS ONE","Public Library of Science; San Francisco, CA USA","","","2019","",TRUE,"Competing Interests: We have read the journal's policy and the authors of this manuscript have the following competing interests: AG, AS and CH are paid employees of, and hold shares in, the GlaxoSmithKline group of companies. There are no patents, products in development or marketed products associated with this research to declare. This does not alter our adherence to PLOS ONE policies on sharing data and materials.",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"GE, QAtB, ACM, TWS, and TAP acknowledge support from a grant from the US National Institutes of Health – National Institute of Allergy and Infectious Diseases (NIH / NIAID (https://www.niaid.nih.gov/)) award number P01AI098670 (to TWS). This publication was made possible with partial support (GE) from Grant Numbers TL1 TR002531 and UL1 TR002529 (A. Shekhar, PI) from the National Institutes of Health, National Center for Advancing Translational Sciences, Clinical and Translational Sciences Award. GlaxoSmithKline Biologicals SA provided support in the form of salaries for authors AG, AS and CH and of funding in the post-doctoral position of GE. GlaxoSmithKline Biologicals SA, through the affiliated authors, had also a role study design by defining the research question, reviewing and inputting on the model proposal and interpretation of the results. GlaxoSmithKline Biologicals SA had no role in the decision to publish or preparation of the manuscript. Authors affiliated to GSK reviewed and approved the manuscript for publication and are therefore compliant with ICMJE criteria for authorship.","GlaxoSmithKline; National Center for Advancing Translational Sciences; National Institute of Allergy and Infectious Diseases","http://dx.doi.org/10.13039/100004330GlaxoSmithKline; http://dx.doi.org/10.13039/100006108National Center for Advancing Translational Sciences; http://dx.doi.org/10.13039/100000060National Institute of Allergy and Infectious Diseases","",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"","research-article",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,NA
"30713821","","6354664","10.7717/peerj.6340","../publications/PMC6354664.xml","PeerJ","PeerJ Inc.; San Diego, USA","Department of Industrial Engineering and Management, National Chiao Tung University","Taiwan","2019","",TRUE,"The authors declare there are no competing interests.",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"This work was supported by the Ministry of Science and Technology, Taiwan (https://www.most.gov.tw/) grant 106-2221-E-009-114-MY2, and Higher Education Sprout Project of the National Chiao Tung University and Ministry of Education (MOE), Taiwan. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.",""," Ministry of Science and Technology, Taiwan;  Higher Education Sprout Project of the National Chiao Tung University and Ministry of Education (MOE)","",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"","research-article",TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,NA
"30707729","","6358083","10.1371/journal.pone.0210638","../publications/PMC6358083.xml","PLoS ONE","Public Library of Science; San Francisco, CA USA","","","2019","",TRUE,"Competing Interests: The authors have declared that no competing interests exist.",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"This work was supported by European Research Council under the European Union’s Seventh Framework Programme (FP/2007 2013)/ERC Grant Agreement n. 740704.","European Research Council","http://dx.doi.org/10.13039/501100000781European Research Council","",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"","research-article",TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,NA
