,PMID,is_coi_pred,is_register_pred,is_fund_pred,is_open_code,is_open_data,Disease,Model,Publication_Year,Journal
0,35153589,True,False,True,False,True,Covid-19,Compartmental,2021 Covid-19,Proc Math Phys Eng Sci
2,35120681,True,False,True,False,False,Covid-19,Spatiotemporal,2021 Covid-19,Spat Spatiotemporal Epidemiol
7,35059370,True,False,True,False,False,Covid-19,Compartmental,2021 Covid-19,Front Public Health
29,34954184,True,False,True,False,False,Covid-19,Spatiotemporal,2021 Covid-19,Sci Total Environ
30,34953536,True,False,True,False,False,Covid-19,Time Series,2021 Covid-19,Lancet Infect Dis
37,34934420,True,False,True,False,False,Covid-19,Time Series,2021 Covid-19,Comput Intell Neurosci
40,34932762,True,False,True,False,False,Chagas,Time Series,2021 Non Covid-19,Rev Soc Bras Med Trop
47,34926865,True,False,False,True,True,Covid-19,Compartmental,2021 Covid-19,Clin Epidemiol Glob Health
49,34922976,True,False,False,False,False,Covid-19,Compartmental,2021 Covid-19,Math Biosci
59,34908634,True,False,False,False,True,Covid-19,Compartmental,2021 Covid-19,Math Methods Appl Sci
64,34900929,True,False,True,False,False,Dengue,Time Series,2021 Non Covid-19,Front Public Health
66,34899057,True,False,False,False,False,Covid-19,Compartmental,2021 Covid-19,J Public Aff
73,34889300,True,False,False,False,False,Hepatitis C,Time Series,2021 Non Covid-19,Medicine (Baltimore)
76,34886355,True,False,True,False,False,General (theoretical model),Compartmental,2021 Non Covid-19,Int J Environ Res Public Health
78,34881217,True,False,False,False,False,Covid-19,Compartmental,2021 Covid-19,Front Public Health
87,34857840,True,False,True,False,False,Covid-19,Compartmental,2021 Covid-19,Sci Rep
92,34849482,True,False,True,False,True,Rubella,Agent-based,2021 Non Covid-19,Vaccine X
102,34831508,True,False,True,False,False,Covid-19,Compartmental,2021 Covid-19,Int J Environ Res Public Health
124,34802273,True,False,True,True,True,Covid-19,Compartmental,2021 Covid-19,Philos Trans A Math Phys Eng Sci
125,34802272,True,False,True,False,False,Covid-19,Compartmental,2021 Covid-19,Philos Trans A Math Phys Eng Sci
128,34798328,True,False,True,False,False,Covid-19,Time Series,2021 Covid-19,Public Health
145,34781241,True,False,True,False,False,RSV,Time Series,2021 Non Covid-19,J Clin Virol
148,34774336,True,False,True,False,False,General (theoretical model),Agent-based,2021 Non Covid-19,Comput Biol Med
154,34767822,True,False,True,False,False,Covid-19,Time Series,2021 Covid-19,Environ Res
183,34729570,True,False,True,False,False,Covid-19,Agent-based,2021 Covid-19,medRxiv
186,34725323,True,False,True,True,True,Covid-19,Compartmental,2021 Covid-19,Nat Commun
188,34722775,True,False,False,False,False,Covid-19,Time Series,2021 Covid-19,Biomed Res Int
195,34713620,True,False,True,False,False,HIV,Time Series,2021 Non Covid-19,J Int AIDS Soc
197,34710181,True,False,True,True,True,Covid-19,Multiple,2021 Covid-19,PLoS One
213,34690447,True,False,True,False,False,Covid-19,Time Series,2021 Covid-19,Knowl Based Syst
237,34647628,True,False,False,False,False,Covid-19,Time Series,2021 Covid-19,J Med Virol
244,34639848,True,False,True,False,False,Covid-19,Compartmental,2021 Covid-19,Int J Environ Res Public Health
256,34611630,True,False,True,False,False,Multiple different agents,Time Series,2021 Non Covid-19,Lancet Reg Health West Pac
275,34585030,True,False,True,False,False,General (theoretical model),Compartmental,2021 Non Covid-19,Infect Dis Model
286,34568837,True,False,False,False,False,Covid-19,Time Series,2021 Covid-19,SN Comput Sci
287,34568179,True,False,True,False,False,Mumps,Time Series,2021 Non Covid-19,Iran J Public Health
294,34552726,True,False,True,False,False,Covid-19,Time Series,2021 Covid-19,J Glob Health
295,34552139,True,False,True,True,True,Covid-19,Agent-based,2021 Covid-19,Sci Rep
304,34538699,True,False,True,False,True,Covid-19,Compartmental,2021 Covid-19,Vaccine
321,34507859,True,False,True,False,False,Covid-19,Compartmental,2021 Covid-19,Vaccine
347,34456533,False,False,True,False,False,General (theoretical model),Compartmental,2021 Non Covid-19,J Dyn Differ Equ
355,34437531,True,False,True,False,False,Covid-19,Agent-based,2021 Covid-19,PLoS Comput Biol
356,34428971,True,False,True,True,True,Covid-19,Compartmental,2021 Covid-19,Proc Biol Sci
384,34395158,False,False,False,False,False,Covid-19,Compartmental,2021 Covid-19,Arab J Sci Eng
390,34383788,True,False,True,False,False,Syphilis,Spatiotemporal,2021 Non Covid-19,PLoS Negl Trop Dis
394,34379641,True,False,True,True,True,Dengue,Spatiotemporal,2021 Non Covid-19,PLoS Negl Trop Dis
412,34352565,True,False,True,False,False,Covid-19,Agent-based,2021 Covid-19,Comput Biol Chem
419,34339424,True,False,True,False,True,HFMD,Spatiotemporal,2021 Non Covid-19,PLoS One
420,34336986,True,False,True,False,False,Covid-19,Multiple,2021 Covid-19,Front Appl Math Stat
425,34334841,False,False,True,False,False,General (theoretical model),Compartmental,2021 Non Covid-19,Appl Math Optim
428,34327356,True,False,True,False,False,Chlamydia,Spatiotemporal,2021 Non Covid-19,Lancet Reg Health West Pac
433,34312573,True,False,True,False,False,Covid-19,Agent-based,2021 Covid-19,Physica A
434,34312473,True,False,True,False,False,Covid-19,Compartmental,2021 Covid-19,Sci Rep
437,34310589,True,False,True,True,True,Covid-19,Agent-based,2021 Covid-19,PLoS Comput Biol
438,34308400,True,False,True,True,True,Covid-19,Compartmental,2021 Covid-19,Lancet Reg Health West Pac
447,34299945,True,False,True,False,False,Covid-19,Compartmental,2021 Covid-19,Int J Environ Res Public Health
468,34260633,True,False,True,False,True,Covid-19,Compartmental,2021 Covid-19,PLoS One
469,34260584,True,False,True,False,False,Rabies/ Lyssavirus,Compartmental,2021 Non Covid-19,PLoS Negl Trop Dis
470,34258483,True,False,True,False,False,Covid-19,Agent-based,2021 Covid-19,Infect Dis Model
474,34253835,True,False,True,False,False,General (theoretical model),Spatiotemporal,2021 Non Covid-19,Sci Rep
475,34253768,True,False,False,False,False,Covid-19,Time Series,2021 Covid-19,Sci Rep
477,34252083,True,False,True,True,True,Covid-19,Agent-based,2021 Covid-19,PLoS Comput Biol
481,34245814,True,False,True,False,False,Covid-19,Agent-based,2021 Covid-19,Am J Infect Control
488,34230582,True,False,True,True,False,Covid-19,Spatiotemporal,2021 Covid-19,Sci Rep
497,34221247,False,False,True,False,False,General (theoretical model),Compartmental,2021 Non Covid-19,Eur Phys J Spec Top
498,34218862,True,False,False,False,False,Covid-19,Compartmental,2021 Covid-19,Mayo Clin Proc
502,34211113,True,False,True,False,False,Covid-19,Spatiotemporal,2021 Covid-19,J Expo Sci Environ Epidemiol
505,34202504,True,False,True,False,False,TB and mycobacteria,Spatiotemporal,2021 Non Covid-19,Int J Environ Res Public Health
507,34199996,True,False,True,False,False,Malaria,Spatiotemporal,2021 Non Covid-19,Int J Environ Res Public Health
509,34188432,True,False,True,True,True,Covid-19,Compartmental,2021 Covid-19,Commun Nonlinear Sci Numer Simul
516,34177316,True,False,True,False,False,Covid-19,Compartmental,2021 Covid-19,Saudi J Biol Sci
518,34176029,False,False,True,False,False,General (theoretical model),Compartmental,2021 Non Covid-19,J Math Biol
526,34154551,True,False,True,False,False,Unspecified (super-category),Time Series,2021 Non Covid-19,BMC Public Health
534,34149236,True,False,True,False,False,Covid-19,Compartmental,2021 Covid-19,Commun Nonlinear Sci Numer Simul
553,34115753,True,False,True,False,False,Dengue,Spatiotemporal,2021 Non Covid-19,PLoS Negl Trop Dis
558,34108815,True,False,True,False,False,Covid-19,Compartmental,2021 Covid-19,Nonlinear Dyn
561,34105632,True,False,True,False,True,Covid-19,Time Series,2021 Covid-19,Rev Soc Bras Med Trop
562,34104256,True,False,False,True,True,Covid-19,Time Series,2021 Covid-19,Cognit Comput
563,34103789,True,False,True,False,False,General (theoretical model),Compartmental,2021 Non Covid-19,Chaos Solitons Fractals
564,34103780,False,False,False,False,False,Covid-19,Compartmental,2021 Covid-19,Ann Oper Res
586,34073465,True,False,True,False,False,Covid-19,Agent-based,2021 Covid-19,Int J Environ Res Public Health
594,34064738,True,False,True,False,False,Malaria,Spatiotemporal,2021 Non Covid-19,Int J Environ Res Public Health
595,34063465,True,False,True,False,False,Covid-19,Compartmental,2021 Covid-19,Viruses
603,34053265,True,False,True,False,False,Covid-19,Compartmental,2021 Covid-19,Philos Trans R Soc Lond B Biol Sci
616,34035086,True,False,True,True,False,Covid-19,Compartmental,2021 Covid-19,BMJ Open
619,34030332,True,False,True,False,False,Covid-19,Time Series,2021 Covid-19,Sci Total Environ
625,34019561,True,False,True,True,True,Covid-19,Agent-based,2021 Covid-19,PLoS One
628,34016439,True,False,False,False,False,Covid-19,Time Series,2021 Covid-19,ISA Trans
634,34006343,False,False,True,False,False,Covid-19,Time Series,2021 Covid-19,Disaster Med Public Health Prep
658,33971429,True,False,True,True,True,Covid-19,Compartmental,2021 Covid-19,Epidemics
666,33962563,True,False,True,False,False,Covid-19,Time Series,2021 Covid-19,BMC Infect Dis
674,33937735,True,False,True,True,True,Covid-19,Agent-based,2021 Covid-19,EClinicalMedicine
676,33937179,True,False,True,False,False,Covid-19,Time Series,2021 Covid-19,Front Public Health
680,33933229,True,False,True,False,False,Covid-19,Compartmental,2021 Covid-19,Value Health
685,33926892,True,False,True,False,False,Covid-19,Spatiotemporal,2021 Covid-19,BMJ Glob Health
694,33915790,True,False,True,False,False,Covid-19,Spatiotemporal,2021 Covid-19,J Clin Med
702,33900932,True,False,True,True,True,Covid-19,Time Series,2021 Covid-19,J Med Internet Res
705,33899097,True,False,True,False,False,Covid-19,Time Series,2021 Covid-19,Health Policy Plan
707,33898884,True,False,True,False,False,Covid-19,Compartmental,2021 Covid-19,Infect Dis Model
709,33897087,True,False,True,False,False,Covid-19,Compartmental,2021 Covid-19,J Math Econ
720,33878351,True,False,True,True,False,Covid-19,Agent-based,2021 Covid-19,Prev Med
722,33875751,True,False,True,True,True,Covid-19,Spatiotemporal,2021 Covid-19,Sci Rep
723,33872188,True,False,True,False,False,Covid-19,Agent-based,2021 Covid-19,JMIR Med Inform
733,33859542,True,False,False,False,False,Covid-19,Agent-based,2021 Covid-19,ScientificWorldJournal
735,33857499,True,False,True,True,False,Covid-19,Agent-based,2021 Covid-19,Lancet Glob Health
744,33841752,True,False,True,False,True,Covid-19,Compartmental,2021 Covid-19,Comput Struct Biotechnol J
754,33821197,True,False,False,False,False,Covid-19,Time Series,2021 Covid-19,World Med Health Policy
759,33814968,False,False,False,False,False,Covid-19,Compartmental,2021 Covid-19,Comput Math Organ Theory
770,33798755,True,False,False,False,False,Covid-19,Compartmental,2021 Covid-19,Infect Genet Evol
789,33780443,True,False,True,True,True,Covid-19,Compartmental,2021 Covid-19,PLoS Comput Biol
793,33774176,True,False,False,False,False,Covid-19,Compartmental,2021 Covid-19,Infect Genet Evol
800,33758464,True,False,True,False,False,Covid-19,Compartmental,2021 Covid-19,Nonlinear Dyn
809,33737555,True,False,False,False,False,Covid-19,Agent-based,2021 Covid-19,Sci Rep
814,33731053,True,False,True,False,False,Covid-19,Compartmental,2021 Covid-19,BMC Public Health
820,33725011,True,False,True,False,True,HFRS,Time Series,2021 Non Covid-19,PLoS One
829,33711799,True,False,True,False,False,Covid-19,Spatiotemporal,2021 Covid-19,JMIR Public Health Surveill
834,33612959,True,False,True,False,False,Covid-19,Compartmental,2021 Covid-19,Math Comput Simul
836,33551582,True,False,True,False,False,General (theoretical model),Compartmental,2021 Non Covid-19,Chaos Solitons Fractals
839,33495675,True,False,True,False,True,Covid-19,Compartmental,2021 Covid-19,Chaos Solitons Fractals
847,33686939,True,False,True,False,False,Malaria,Spatiotemporal,2021 Non Covid-19,Elife
854,33678199,False,False,False,False,False,Covid-19,Spatiotemporal,2021 Covid-19,Epidemiol Infect
867,33649692,False,False,True,False,False,Covid-19,Compartmental,2021 Covid-19,Comput Mech
868,33651819,True,False,True,False,False,Covid-19,Agent-based,2021 Covid-19,PLoS One
871,33647029,True,False,True,False,True,Malaria,Spatiotemporal,2021 Non Covid-19,PLoS Comput Biol
877,33639138,True,False,True,True,False,General (theoretical model),Compartmental,2021 Non Covid-19,J Theor Biol
879,33635330,False,False,False,False,False,Clostridioides difficile,Agent-based,2021 Non Covid-19,JAMA Netw Open
883,33633250,True,False,False,False,False,Covid-19,Spatiotemporal,2021 Covid-19,Sci Rep
884,33619419,False,False,True,False,False,Covid-19,Compartmental,2021 Covid-19,Appl Math Model
913,33604654,True,False,True,True,True,Covid-19,Compartmental,2021 Covid-19,Gigascience
916,33602160,True,False,True,False,False,Anthrax,Spatiotemporal,2021 Non Covid-19,BMC Infect Dis
926,33519117,True,False,False,False,False,Covid-19,Time Series,2021 Covid-19,Chaos Solitons Fractals
928,33596247,True,False,True,True,True,Covid-19,Agent-based,2021 Covid-19,PLoS One
929,33594478,False,False,True,False,False,Covid-19,Compartmental,2021 Covid-19,Bull Math Biol
935,33577564,True,False,True,True,False,General (theoretical model),Compartmental,2021 Non Covid-19,PLoS One
