,open_code_statements,PMID
68,r codes were provided to show how to employ the time-dependent wavelet analysis to assess the periodicity of the time series and gamlss model to study the association between seasonal characteristics of dengue and climatic variables (see online supplementary material 'r codes').,31129573
266,the code for the simulations and detailed results are available at the following github repository: https://github com/covidtoday/covid19model-india .,33279653
294,e-mail: mdubydul haque@unthsc edu disclosure: the datasets used and/or analyzed during the current study are available ( https://github com/rizvi23061998/bd_prediction ).;     all codes and data are available in the following github repository: ( https://github com/rizvi23061998/bd_prediction ).,33146109
420,fengwei chen was supported in part by the under grant 62073246 1 most of the covid-19 data used in this paper were downloaded from the github web site at https://github com/cssegisanddata/covid-19/tree/master/csse_covid_19_data/csse_covid_19_time_series2 the captain toolbox is a free toolbox that can be downloaded from http://wp lancs ac uk/captaintoolbox/ .,33623480
462,the codes are available on: https://github com/michelduprez/optimal-immunity-control git .,33678904
470,we have made our codes available on a public repository ( https://github com/v1xerunt/stan ).;     the covid-19 statistics data used in this article are provided by johns hopkins university (jhu) coronavirus resource center and they are publicly available at https://github com/cssegisanddata/covid-19 .,33486527
497,data availability the matlab(r) source code and excel file containing all parameter values used as well as a non-age segregated version of the model are available at https://github com/envbioprom/covid_model .;     outbreaks covid-19 data availability the matlab(r) source code and excel file containing all parameter values used as well as a non-age segregated version of the model are available at https://github com/envbioprom/covid_model .,33720988
564,data availability the following information was supplied regarding data availability: the netlogo implementation is available at github: https://github com/sanaaasal/covid-19-simulation-study--the-effect-of-strict-non--pharmaceutical-interventions-npi-on-controlli,33850666
570,data on covid-19 cases for the us was obtained from https://github com/cssegisanddata/covid-19/tree/master/csse_covid_19_data/csse_covid_19_time_series and restricted to nj counties ct counties nyc boroughs of the bronx kings (brooklyn) new york city queens and richmond and the nine ny counties neighboring nyc named above ( supplementary table iia iib and iic ).;     the data was obtained from https://github com/cssegisanddata/covid-19/tree/master/csse_covid_19_data/csse_covid_19_time_series supplement 16 supplement 17 supplement 18 supplementary table 3a-c: demographics fitted sir model parameters and predictions from the fits for nj ct ny counties and nyc boroughs.,33821284
619,data availability a visualization of mast performance on updated covid-19 infection data from an extended set of countries is available at https://covid-mast github io .,33879824
628,the simulation codes are available at: https://github com/thomasvilches/two_strains2 7 the funders of the study had no role in study design data collection data analysis data interpretation or writing of the report 3 at a vaccination rate of 1 million doses per day we found that emergence of a sars-cov-2 variant that is10-70% more transmissible than the original variant would lead to an average of 1 24-36 6 cases per 10000 population ( fig 1 ) corresponding to 40900-1208000 cases per day at the peak in the us.;     conceptualization: smm pjh ps apg data curation: tnv smm formal analysis: tnv smm ps funding acquisition: smm mcf apg investigation: all authors methodology: tnv smm sp project administration: smm apg pjh supervision: smm apg validation and visualization: smm tnv ps writing - original draft: all authors writing - review & editing: all authors all simulation codes are available at: https://github com/thomasvilches/two_strains .,33937735
666,the data and code are available at https://github com/jinyizhu/importation-risk-of-covid-19 3 3 1 we first estimated the actual dynamic inbound traveller reduction in mainland china and singapore ( fig 2 a and d).,33965636
669,the explainable convolution-lstmcode is available here: https://github com/cbasemaster/time-series-attribution .,33994895
685,all code is publically available on github ( https://github com/goshgondar2018/equity_sir ).,33863575
793,the code will be released upon final submission and will be available at: https://github com/charlottexiaoyeding/flightseir all other datasets are publicly available: \documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$$\bullet$$\end{document} o canada covid-19 case data test positive rate p : https://www canada ca/en/public-health/services/diseases/2019-novel-coronavirus-infection html#a1 \documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$$\bullet$$\end{document} o flights statistics: https://www150 statcan gc ca/t1/tbl1/en/tv action?,34150986
