,0_x,0_y
"('2019', 'General (theoretical model)')",33,15.277777777777779
"('2019', 'Influenza illnesses')",20,9.25925925925926
"('2019', 'Dengue')",15,6.944444444444445
"('2019', 'Malaria')",15,6.944444444444445
"('2019', 'HIV')",14,6.481481481481481
"('2019', 'HFMD')",9,4.166666666666666
"('2019', 'Multiple different agents')",8,3.7037037037037033
"('2019', 'TB and mycobacteria')",8,3.7037037037037033
"('2019', 'Zika')",8,3.7037037037037033
"('2019', 'Ebola')",6,2.7777777777777777
"('2019', 'Measles')",5,2.314814814814815
"('2019', 'Rotavirus')",5,2.314814814814815
"('2019', 'Streptococcus')",5,2.314814814814815
"('2019', 'Unspecified (super-category)')",5,2.314814814814815
"('2019', 'Brucellosis')",4,1.8518518518518516
"('2019', 'HFRS')",4,1.8518518518518516
"('2019', 'Leishmaniasis')",4,1.8518518518518516
"('2019', 'Vector')",4,1.8518518518518516
"('2019', 'Campylobacter')",3,1.3888888888888888
"('2019', 'Cholera')",3,1.3888888888888888
"('2019', 'Resistant bacteria')",3,1.3888888888888888
"('2019', 'West Nile virus')",3,1.3888888888888888
"('2019', 'Hepatitis C')",2,0.9259259259259258
"('2019', 'Nephropathia epidemica')",2,0.9259259259259258
"('2019', 'Scrub typhus')",2,0.9259259259259258
"('2019', 'Bordetella pertussis')",1,0.4629629629629629
"('2019', 'Canine heartworm')",1,0.4629629629629629
"('2019', 'Chagas')",1,0.4629629629629629
"('2019', 'Chikungunya')",1,0.4629629629629629
"('2019', 'Crimean Congo HF')",1,0.4629629629629629
"('2019', 'EHEC')",1,0.4629629629629629
"('2019', 'Giardiasis')",1,0.4629629629629629
"('2019', 'Henipavirus')",1,0.4629629629629629
"('2019', 'Hepatitis B')",1,0.4629629629629629
"('2019', 'Herpes zoster')",1,0.4629629629629629
"('2019', 'Lassa fever')",1,0.4629629629629629
"('2019', 'Legionella pneumophila')",1,0.4629629629629629
"('2019', 'Leprosy')",1,0.4629629629629629
"('2019', 'Leptospirosis')",1,0.4629629629629629
"('2019', 'MERS')",1,0.4629629629629629
"('2019', 'Meningococcus')",1,0.4629629629629629
"('2019', 'Mumps')",1,0.4629629629629629
"('2019', 'Norovirus')",1,0.4629629629629629
"('2019', 'Onchocerciasis')",1,0.4629629629629629
"('2019', 'PRRS')",1,0.4629629629629629
"('2019', 'Rabies/ Lyssavirus')",1,0.4629629629629629
"('2019', 'Rift valley fever')",1,0.4629629629629629
"('2019', 'Schistomiasis')",1,0.4629629629629629
"('2019', 'Spiroplasma')",1,0.4629629629629629
"('2019', 'Syphilis')",1,0.4629629629629629
"('2019', 'Typhus')",1,0.4629629629629629
