,0_x,0_y
"('2019', 'PLoS One')",26,12.037037037037036
"('2019', 'Sci Rep')",20,9.25925925925926
"('2019', 'BMC Infect Dis')",16,7.4074074074074066
"('2019', 'Int J Environ Res Public Health')",15,6.944444444444445
"('2019', 'Epidemiol Infect')",11,5.092592592592593
"('2019', 'PLoS Negl Trop Dis')",11,5.092592592592593
"('2019', 'PLoS Comput Biol')",10,4.62962962962963
"('2019', 'BMC Public Health')",6,2.7777777777777777
"('2019', 'Parasit Vectors')",5,2.314814814814815
"('2019', 'BMJ Open')",3,1.3888888888888888
"('2019', 'Proc Natl Acad Sci U S A')",3,1.3888888888888888
"('2019', 'BMC Med')",2,0.9259259259259258
"('2019', 'Ecohealth')",2,0.9259259259259258
"('2019', 'Emerg Infect Dis')",2,0.9259259259259258
"('2019', 'Epidemiology')",2,0.9259259259259258
"('2019', 'Infect Drug Resist')",2,0.9259259259259258
"('2019', 'J Math Biol')",2,0.9259259259259258
"('2019', 'J R Soc Interface')",2,0.9259259259259258
"('2019', 'J Theor Biol')",2,0.9259259259259258
"('2019', 'Malar J')",2,0.9259259259259258
"('2019', 'Nat Commun')",2,0.9259259259259258
"('2019', 'Proc Biol Sci')",2,0.9259259259259258
"('2019', 'Rev Saude Publica')",2,0.9259259259259258
"('2019', 'Adv Differ Equ')",1,0.4629629629629629
"('2019', 'Am J Epidemiol')",1,0.4629629629629629
"('2019', 'Am J Trop Med Hyg')",1,0.4629629629629629
"('2019', 'BMC Med Res Methodol')",1,0.4629629629629629
"('2019', 'BMC Res Notes')",1,0.4629629629629629
"('2019', 'BMC Vet Res')",1,0.4629629629629629
"('2019', 'Biomath (Sofia)')",1,0.4629629629629629
"('2019', 'Clin Cardiol')",1,0.4629629629629629
"('2019', 'Clin Infect Dis')",1,0.4629629629629629
"('2019', 'Clin Microbiol Infect')",1,0.4629629629629629
"('2019', 'Comput Math Methods Med')",1,0.4629629629629629
"('2019', 'Cost Eff Resour Alloc')",1,0.4629629629629629
"('2019', 'Diagnostics (Basel)')",1,0.4629629629629629
"('2019', 'Ecol Evol')",1,0.4629629629629629
"('2019', 'Emerg Microbes Infect')",1,0.4629629629629629
"('2019', 'Environ Health Perspect')",1,0.4629629629629629
"('2019', 'Epidemics')",1,0.4629629629629629
"('2019', 'F1000Res')",1,0.4629629629629629
"('2019', 'Front Public Health')",1,0.4629629629629629
"('2019', 'Health Econ')",1,0.4629629629629629
"('2019', 'Health Promot Perspect')",1,0.4629629629629629
"('2019', 'Health Secur')",1,0.4629629629629629
"('2019', 'Healthc Inform Res')",1,0.4629629629629629
"('2019', 'Infect Dis Model')",1,0.4629629629629629
"('2019', 'Infect Dis Poverty')",1,0.4629629629629629
"('2019', 'Influenza Other Respir Viruses')",1,0.4629629629629629
