,0_x,0_y
"('2019', 'Time Series')",80,37.03703703703704
"('2019', 'Spatiotemporal')",78,36.11111111111111
"('2019', 'Agent-based')",31,14.351851851851851
"('2019', 'Compartmental')",26,12.037037037037036
"('2019', 'Multiple')",1,0.4629629629629629
"('2021 Covid-19', 'Compartmental')",394,48.16625916870416
"('2021 Covid-19', 'Time Series')",175,21.39364303178484
"('2021 Covid-19', 'Agent-based')",118,14.425427872860636
"('2021 Covid-19', 'Spatiotemporal')",111,13.569682151589241
"('2021 Covid-19', 'Multiple')",20,2.444987775061125
"('2021 Non Covid-19', 'Compartmental')",91,29.93421052631579
"('2021 Non Covid-19', 'Spatiotemporal')",90,29.605263157894733
"('2021 Non Covid-19', 'Time Series')",82,26.973684210526315
"('2021 Non Covid-19', 'Agent-based')",37,12.171052631578947
"('2021 Non Covid-19', 'Multiple')",4,1.3157894736842104
