,PMID,is_coi_pred,is_register_pred,is_fund_pred,is_open_code,is_open_data,Disease,Model,Publication_Year,Journal
0,35153589,True,False,True,False,True,Covid-19,Compartmental,2021 Covid-19,Proc Math Phys Eng Sci
1,35136763,True,False,True,False,False,Covid-19,Compartmental,2021 Covid-19,J Family Med Prim Care
2,35120681,True,False,True,False,False,Covid-19,Spatiotemporal,2021 Covid-19,Spat Spatiotemporal Epidemiol
3,35094929,True,False,True,False,False,Covid-19,Time Series,2021 Covid-19,J Am Pharm Assoc (2003)
4,35083430,True,False,False,True,True,Covid-19,Time Series,2021 Covid-19,Array (N Y)
5,35071672,True,False,True,False,False,Covid-19,Compartmental,2021 Covid-19,AIMS Public Health
6,35071388,True,False,True,False,False,Lumpy skin disease,Spatiotemporal,2021 Non Covid-19,Front Vet Sci
7,35059370,True,False,True,False,False,Covid-19,Compartmental,2021 Covid-19,Front Public Health
8,35059369,True,False,True,False,False,Covid-19,Agent-based,2021 Covid-19,Front Public Health
9,35058682,True,False,False,False,False,Covid-19,Compartmental,2021 Covid-19,China Econ Rev
10,35052076,True,False,True,False,False,Covid-19,Time Series,2021 Covid-19,Entropy (Basel)
11,35039781,False,False,True,True,True,Covid-19,Compartmental,2021 Covid-19,J Complex Netw
12,35036527,True,False,True,True,True,Covid-19,Time Series,2021 Covid-19,PeerJ Comput Sci
13,35036159,True,False,True,False,True,Covid-19,Spatiotemporal,2021 Covid-19,PeerJ
14,35028196,True,False,False,False,False,Covid-19,Compartmental,2021 Covid-19,Cureus
15,35010675,True,False,True,False,False,Leprosy,Time Series,2021 Non Covid-19,Int J Environ Res Public Health
16,35010600,True,False,True,False,False,Dengue,Time Series,2021 Non Covid-19,Int J Environ Res Public Health
17,35005324,True,False,True,False,False,Covid-19,Compartmental,2021 Covid-19,Infect Dis Model
18,34988255,True,False,True,False,False,Covid-19,Spatiotemporal,2021 Covid-19,Open Forum Infect Dis
19,34977848,True,False,False,True,True,Covid-19,Agent-based,2021 Covid-19,Lancet Reg Health Am
